jobcode	jobtitle
600090	agent(e) de securite - classe 1
105200	directeur(-trice)-budget,planification financiere et fiscale
602340	mecanicien(ne) technicien(ne) - eau potable
220260	chef(fe) de division - culture, sports, developpement social
607800	manoeuvre specialise
720440	intervenant(e) prevention sensibilisation jeunesse
605750	prepose(e) service installations et parcs
711920	agent(e) de distribution principal(e)
221560	chef(fe) de section - culture
794820	prepose(e) aux telecommunications
221260	chef(fe) de section - ingenierie
221280	chef(fe) de section - planification integree
220330	conseiller(ere) - recherche de talents et dotation
216020	chef(fe) de division - soutien technique et amenagement paysager (arr. lasalle)
600030	employe(e) de restaurant
711780	technicien(ne) - bureautique
221960	inspecteur(-trice) général(e) adjoint(e) pré enquête et analyse
721510	parrainage professionnel niveau universitaire
600210	conducteur(-trice) trains miniatures embarcations a moteur
900290	etudiant(e) programme gouvernemental - collégial
721920	programme tremplin-travail - sec/prof.
221800	chef(fe) de section - patrimoine
222920	chef(fe) de division - planification des effectifs
210000	chef(fe) de division - ameliorations urbaines et qualite du milieu (arrondissement)
223500	chef(fe) de section - systemes et services arrondissements
206920	agent de gestion adm.(parc auto.spvm)
703850	traducteur(-trice)
754810	commis de pesee
106600	directeur(-trice) d arrondissement adjoint(e) - gestion territoire et sa
212300	charge(e) de dossiers ou missions
216690	chef(fe) de division - planification et soutien aux operations (sef)
214050	chef(fe) de section - circulation arrondissement
221660	chef(fe) de division - analyses immobilieres
700680	surveillant(e) de pataugeoire - chef(fe) d equipe
204300	c/m voirie   hygiène du milieu arr.outremont pierrefonds/rox
713150	enqueteur(-teuse) - evaluation - cum
223140	chef(fe) de section - mesures particulières d exécution
401050	profil - 401000 - gouvernance en securite de l information et gestion des risques
611450	briqueteur(-euse)-macon(ne) et chauffeur(-euse)
215870	chef(fe) de section - centres distribution   transport biens
222940	chef(fe) de division - gestion du changement et accompagnement aux transformations
601950	formateur(-trice)
103430	directeur(-trice) de service - approvisionnement
721830	photographe - identification judiciaire
601850	peintre restaurateur(-trice)
218360	c/m climatisation et réfrigération
211640	chef(fe) de division - gestion des installations (dir. sports)
400710	arpenteur (-euse)-géomètre junior
212270	contremaître(-tresse) - forêt urbaine (outr)
223670	chef(fe) - bureau de l ombudsman
457740	chimiste - c/e
611520	prepose(e) en charge - exploit.reseau primaire - eau potable
400530	conseiller(-ère) aux rôles d évaluation
611370	prepose(e) entretien sites d approvisionnement en carburant
215240	chef(fe) de division - communications et relations avec la communaute
254790	c/m  des operations aux cesm
222410	chef(fe) de section - services conseils en prevention
219330	chef(fe) de division - equipements culturels, art public, patrimoine artistique
221700	chef(fe) de section - planification des investissements
216890	c/d marketing   communications
221600	adjoint(e)-directeur(-trice) - relations de travail
219370	chef(fe) de section - logistique (spvm)
220720	chef(fe) de division - gestion des actifs
221320	chef(fe) de division - collecte transport et traitement des matieres residuelles
707860	huissier(-iere) de la cour municipale
284430	gerant(e) - surveillance du stationnement
601870	serigraphe
718670	secretaire construction - outr
721910	programme liaison emploi - universitaire
212970	c/d adj.voirie <<arr.>60000>>
221080	chef(fe) de division - transfo rh
399910	secretaire- recherchiste
400430	conseiller(-ère) en approvisionnement
482810	conseiller(-ere) en immobilier expertise immobiliere
104320	directeur de projets
215290	chef(fe) de section - developpement des personnes sim/spvm
215600	contremaître(-tresse) - collections vivantes - animaux
721470	integrateur(-trice) web
754840	depisteur(-euse) de fuites d eau
601260	jardinier(-iere) - jardin botanique ou regions chauffeur(-euse)
601110	charge(e) des travaux d asphaltage(*)
611630	prepose(e) a l entretien du reseau d aqueduc et d egouts
212960	chef(fe) de section - gestion immobiliere et exploitation des batiments a contrat
453730	arpenteur(-euse) geometre
602840	mecanicien(ne) - appareils motorises - app. immeubles
721860	analyste juridique
756860	examinateur(-trice) de titres
219870	chef revenus
219970	directeur(-trice) - administration - bureau du taxi de montreal
221430	contremaitre(-tresse) d arrondissement - voirie et parcs
221920	chef(fe) de division - salubrite des logements
106180	directeur(-trice) - gestion immobiliere et exploitation des batiments
712910	aide en loisirs - cum
105690	directeur(-trice)  - sante, securite et mieux-etre
703830	redacteur(-trice) de proces-verbaux
211360	chef(fe) de section - partenaires affaires ressources humaines
607960	prepose(e) au procede
214570	c/d dév.écon.<<arr.vmar>>
712920	aide technique - environnement - cum
